;detector;XCoords;YCoords;shift
14277;19;23.15555555555556;-6.248484848484843;-13.069998368206749
14278;19;24.003030303030307;-6.248484848484843;-13.289179612902677
14279;19;24.850505050505056;-6.248484848484843;-13.50243029746821
14280;19;25.69797979797979;-6.248484848484843;-13.70799983266847
14281;19;26.54545454545454;-6.248484848484843;-13.905997619098729
14282;19;27.39292929292929;-6.248484848484843;-14.09604176354561
14283;19;28.240404040404037;-6.248484848484843;-14.277762872464834
14284;19;29.087878787878786;-6.248484848484843;-14.450805427421459
14285;19;29.935353535353535;-6.248484848484843;-14.614164616658641
14286;19;30.782828282828284;-6.248484848484843;-14.76929506520438
14287;19;31.630303030303033;-6.248484848484843;-14.914104577241154
14288;19;32.47777777777778;-6.248484848484843;-15.048965625277457
14289;19;33.32525252525253;-6.248484848484843;-15.173605682533836
14290;19;34.17272727272728;-6.248484848484843;-15.287772587909586
14291;19;35.020202020202014;-6.248484848484843;-15.391235353427877
14292;19;35.86767676767676;-6.248484848484843;-15.483168969393066
14293;19;36.71515151515151;-6.248484848484843;-15.565036103940297
14294;19;37.56262626262626;-6.248484848484843;-15.63501866466236
14295;19;38.41010101010101;-6.248484848484843;-15.693588914132041
14296;19;39.25757575757576;-6.248484848484843;-15.740627140338855
14297;19;40.10505050505051;-6.248484848484843;-15.776037920103835
14298;19;40.952525252525255;-6.248484848484843;-15.799750394078435
14299;19;41.8;-6.248484848484843;-15.811087744953902
14300;19;-42.1;-5.402020202020196;1.3067998705223667
14301;19;-41.25252525252525;-5.402020202020196;1.3002213410639756
14302;19;-40.405050505050504;-5.402020202020196;1.289270175036103
14303;19;-39.55757575757576;-5.402020202020196;1.2717369243469299
14304;19;-38.71010101010101;-5.402020202020196;1.2484412209391846
14305;19;-37.862626262626264;-5.402020202020196;1.2193802017163526
14306;19;-37.015151515151516;-5.402020202020196;1.1845518133706066
14307;19;-36.16767676767677;-5.402020202020196;1.1439549523824448
14308;19;-35.32020202020202;-5.402020202020196;1.096853575683226
14309;19;-34.472727272727276;-5.402020202020196;1.0452211586292928
14310;19;-33.62525252525253;-5.402020202020196;0.9870842596572074
14311;19;-32.77777777777778;-5.402020202020196;0.9231788568746073
14312;19;-31.93030303030303;-5.402020202020196;0.8535068707806892
14313;19;-31.082828282828284;-5.402020202020196;0.7780724588090814
14314;19;-30.235353535353536;-5.402020202020196;0.6968822548439277
14315;19;-29.38787878787879;-5.402020202020196;0.6093533972502495
14316;19;-28.54040404040404;-5.402020202020196;0.5170853664381634
14317;19;-27.692929292929293;-5.402020202020196;0.41850407955584296
14318;19;-26.845454545454547;-5.402020202020196;0.3142169526522751
14319;19;-25.9979797979798;-5.402020202020196;0.20424280611737025
14320;19;-25.150505050505053;-5.402020202020196;0.08860423720805445
14321;19;-24.303030303030305;-5.402020202020196;-0.03267224146724683
14322;19;-23.455555555555556;-5.402020202020196;-0.16007955643855032
14323;19;-22.60808080808081;-5.402020202020196;-0.2921795729932755
14324;19;-21.76060606060606;-5.402020202020196;-0.4303379058986001
14325;19;-20.913131313131313;-5.402020202020196;-0.5739911369927498
14326;19;-20.065656565656568;-5.402020202020196;-0.7230950039078033
14327;19;-19.21818181818182;-5.402020202020196;-0.8776009455725193
14328;19;-18.37070707070707;-5.402020202020196;-1.0374561337549342
14329;19;-17.523232323232325;-5.402020202020196;-1.2028612683770608
14330;19;-16.675757575757576;-5.402020202020196;-1.3730628276232608
14331;19;-15.82828282828283;-5.402020202020196;-1.5486856454735236
14332;19;-14.980808080808082;-5.402020202020196;-1.7294038152569124
14333;19;-14.133333333333333;-5.402020202020196;-1.915144998243163
14334;19;-13.285858585858588;-5.402020202020196;-2.1058326900338913
14335;19;-12.438383838383839;-5.402020202020196;-2.3013862160340524
14336;19;-11.590909090909093;-5.402020202020196;-2.5018745327203176
14337;19;-10.743434343434345;-5.402020202020196;-2.7067940766245018
14338;19;-9.895959595959596;-5.402020202020196;-2.916461917548464
14339;19;-9.048484848484847;-5.402020202020196;-3.1306266979578687
14340;19;-8.201010101010105;-5.402020202020196;-3.3491859741914234
14341;19;-7.3535353535353565;-5.402020202020196;-3.572032128573592
14342;19;-6.506060606060608;-5.402020202020196;-3.7990520666262393
14343;19;-5.658585858585859;-5.402020202020196;-4.030166906982002
14344;19;-4.81111111111111;-5.402020202020196;-4.265141472885204
14345;19;-3.963636363636361;-5.402020202020196;-4.503948503996102
14346;19;-3.1161616161616195;-5.402020202020196;-4.746408754164856
14347;19;-2.2686868686868706;-5.402020202020196;-4.992375118947448
14348;19;-1.4212121212121218;-5.402020202020196;-5.241692044506376
14349;19;-0.573737373737373;-5.402020202020196;-5.494194962285562
14350;19;0.27373737373737583;-5.402020202020196;-5.749741047178739
14351;19;1.1212121212121176;-5.402020202020196;-6.008059035166505
14352;19;1.9686868686868664;-5.402020202020196;-6.269034836014385
14353;19;2.816161616161615;-5.402020202020196;-6.5324306386502045
14354;19;3.663636363636364;-5.402020202020196;-6.798028021503942
14355;19;4.511111111111113;-5.402020202020196;-7.065596195703682
14356;19;5.358585858585862;-5.402020202020196;-7.33489164464402
14357;19;6.206060606060603;-5.402020202020196;-7.605454481694212
14358;19;7.053535353535352;-5.402020202020196;-7.877556583449639
14359;19;7.901010101010101;-5.402020202020196;-8.150365486832522
14360;19;8.74848484848485;-5.402020202020196;-8.423786518743388
14361;19;9.595959595959599;-5.402020202020196;-8.697508238360182
14362;19;10.44343434343434;-5.402020202020196;-8.971206043974982
14363;19;11.29090909090909;-5.402020202020196;-9.244542546969607
14364;19;12.138383838383838;-5.402020202020196;-9.516937221720173
14365;19;12.985858585858587;-5.402020202020196;-9.788644098799217
14366;19;13.833333333333336;-5.402020202020196;-10.058667854010857
14367;19;14.680808080808077;-5.402020202020196;-10.326855340930946
14368;19;15.528282828282826;-5.402020202020196;-10.592813333117638
14369;19;16.375757575757575;-5.402020202020196;-10.856140499326216
14370;19;17.223232323232324;-5.402020202020196;-11.116428629889533
14371;19;18.070707070707073;-5.402020202020196;-11.37280704110648
14372;19;18.918181818181814;-5.402020202020196;-11.626079107563266
14373;19;19.765656565656563;-5.402020202020196;-11.874594439455837
14374;19;20.613131313131312;-5.402020202020196;-12.118385046946866
14375;19;21.46060606060606;-5.402020202020196;-12.35702622490333
14376;19;22.30808080808081;-5.402020202020196;-12.590095066235278
14377;19;23.15555555555556;-5.402020202020196;-12.817172074607631
14378;19;24.003030303030307;-5.402020202020196;-13.037336130757094
14379;19;24.850505050505056;-5.402020202020196;-13.25153444523765
14380;19;25.69797979797979;-5.402020202020196;-13.458004639878256
14381;19;26.54545454545454;-5.402020202020196;-13.65686014002075
14382;19;27.39292929292929;-5.402020202020196;-13.847718794420931
14383;19;28.240404040404037;-5.402020202020196;-14.03021096326306
14384;19;29.087878787878786;-5.402020202020196;-14.203980894830465
14385;19;29.935353535353535;-5.402020202020196;-14.368018116729717
14386;19;30.782828282828284;-5.402020202020196;-14.523791622846481
14387;19;31.630303030303033;-5.402020202020196;-14.66919441250808
14388;19;32.47777777777778;-5.402020202020196;-14.804604195338854
